keys,en_GB,en_US,ee
GAME_ATS,American Truck Simulator,,eee
GAME_ETS,Euro Truck Simulator 2,,eee
BUTTON_SAVE,Save,,eee
BUTTON_LOAD,Load,,eee
BUTTON_PREVIOUS,Previous,,eee
BUTTON_NEXT,Next,,eee
BUTTON_ABOUT,About,,eee
BUTTON_EXPORT,Export,,eee
BUTTON_ADVANCED,Advanced,,eee
BUTTON_OKAY,Okay,,eee
BUTTON_CONFIRM,Confirm,,eee
BUTTON_NEVERMIND,Nevermind,,eee
SETUP_VERSION,Version %s,,eee %s
SETUP_CREATE,Create a new project,,eee
SETUP_LOAD,Load an existing project,,eee
SETUP_WELCOME,Welcome to Paint Job Packer,,eee
SETUP_QUESTION,What would you like to do today?,,eee
MOD_TITLE,Mod Manager Info,,eee
MOD_NAME,Mod Name,,eee
MOD_AUTHOR,Author,,eee
MOD_VERSION,Version,,eee
MOD_DESCRIPTION,Description,,eee
MOD_QUESTION,Which game is your mod for?,,eee
CABIN_LARGEST,Largest cabin only,,eee
CABIN_ALL,All cabins,,eee
CABIN_SELECTED,Selected cabins,,eee
CABIN_DSPLIT,"Don't split, one per truck",,eee
CABIN_SPLIT,"Split, one per cabin",,eee
PJOB_TITLE,In-Game Paint Job Info,,eee
PJOB_NAME,Name,,eee
PJOB_PRICE,Price,,eee
PJOB_UNLOCK,Unlock level,,eee
PJOB_UNLOCKD,Unlocked by default,,eee
PJOB_VEHICLES,Vehicles Supported (%s),,eee %s
INTERNAL_TITLE,Other Settings,,eee
INTERNAL_NAME,Internal name,,eee
INTERNAL_CABIN,Supported cabins,,eee
INTERNAL_PJOB,Split paint jobs,,eee
TAB_TRUCKS,Trucks,,eee
TAB_TRAILERS,Trailers,,eee
TAB_BUSES,Buses,,eee
TAB_CARS,Cars,,eee
TAB_TRUCK_MODS,Truck Mods,,eee
TAB_TRAILER_MODS,Trailer Mods,,eee
TAB_BUS_MODS,Bus Mods,,eee
TAB_CAR_MODS,Car Mods,,eee
TAB_NEW,New Paint Job,,eee
EXPORT_TITLE,Mod Export Options,,eee
EXPORT_CHOOSE,Choose export location,,eee
EXPORT_PL_SELECT,Please select a location to export your mod,,eee
EXPORT_PL_CHOOSE,Please choose a valid export folder to continue,,eee
EXPORT_EMPTY,Use empty placeholders,,eee
EXPORT_TEMPLATES,Use templates,,eee
WARN_MNAME_BLANK,"Mod name cannot be blank, please enter a mod name",,eee
WARN_MNAME_BLANKS,Mod name is blank,,eee
WARN_MNAME_INVAL,Mod name cannot contain the following characters:,,eee
WARN_MNAME_INVALS,Mod name contains invalid characters,,eee
WARN_MNAME_FULL,Mod name cannot end with a full stop,,eee
WARN_MNAME_FULLS,Mod name ends with a full stop,,eee
WARN_MNAME_SPC,Mod name cannot end with a space,,eee
WARN_MNAME_SPCS,Mod name ends with a space,,eee
WARN_MNAME_RESER,Mod name cannot be any of the following:,,eee
WARN_MNAME_RESERS,Mod name is a reserved file name,,eee
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
WARNING_HELP,Help,,eee
WARNING_TITLE,Warning,,eee
